"K","n","p","n_rep","info_gain_mean","info_gain_sd","info_gain_mcse","delta_tr_mean","delta_tr_sd","delta_tr_mcse","radius_prop_mean","radius_prop_sd","radius_prop_mcse","mean_eta_B_waba_mean","mean_eta_B_waba_sd","mean_eta_B_waba_mcse","mean_E_waba_mean","mean_E_waba_sd","mean_E_waba_mcse","mean_eta_B_int_mean","mean_eta_B_int_sd","mean_eta_B_int_mcse","mean_E_int_mean","mean_E_int_sd","mean_E_int_mcse","mean_delta_eta_mean","mean_delta_eta_sd","mean_delta_eta_mcse","mean_pi_R_mean","mean_pi_R_sd","mean_pi_R_mcse","mean_E_R_het_int_mean","mean_E_R_het_int_sd","mean_E_R_het_int_mcse","mean_r_R_billard_mean","mean_r_R_billard_sd","mean_r_R_billard_mcse","mean_r_R_het_signed_mean","mean_r_R_het_signed_sd","mean_r_R_het_signed_mcse","prop_r_R_het_positive_mean","prop_r_R_het_positive_sd","prop_r_R_het_positive_mcse","prop_r_R_het_negative_mean","prop_r_R_het_negative_sd","prop_r_R_het_negative_mcse","prop_r_R_het_undefined_mean","prop_r_R_het_undefined_sd","prop_r_R_het_undefined_mcse","level5_mode","scenario","level5_note","equivocal_within_deg","equivocal_between_deg","equivocal_within_threshold","equivocal_between_threshold"
3,1000,10,100,203.844166070245,90.6998553349504,9.06998553349504,3.32128171918609,0.0712920298075174,0.00712920298075174,0.994133515623014,0.0025610510493237,0.00025610510493237,0.0392982536653347,0.009171349261887,0.0009171349261887,0.0393563346757525,0.00920664975024194,0.000920664975024194,0.501104869602091,0.000487315336302211,4.87315336302211e-05,0.57905508674506,0.000753348660129085,7.53348660129085e-05,0.461806615936757,0.0086946264917749,0.00086946264917749,0.994145868967633,0.00256769004862376,0.000256769004862376,0.0161461202594579,0.00263696849265468,0.000263696849265468,0.999140133780465,0.000264707260268802,2.64707260268802e-05,0.0840343853457557,0.163758183753167,0.0163758183753167,0.552,0.10770167514612,0.010770167514612,0.448,0.10770167514612,0.010770167514612,0,0,0,"graded","complete_null","",37.5,52.5,0.76732698797896,1.30322537284121
3,1000,50,100,183.096731120143,57.5728495698408,5.75728495698408,16.6181828951699,0.280663595835077,0.0280663595835077,0.993822294750616,0.00252207054851603,0.000252207054851603,0.0402495217880734,0.00837905526346254,0.000837905526346254,0.0403124955414186,0.00841675744953566,0.000841675744953566,0.501162565484417,0.000477182864151549,4.77182864151549e-05,0.579144364430082,0.000738087064258145,7.38087064258145e-05,0.460913043696343,0.00790672698052227,0.000790672698052227,0.993842708765937,0.00251029899353387,0.000251029899353387,0.0162697706482073,0.00168571003830566,0.000168571003830566,0.999125082800408,0.000134917232056946,1.34917232056946e-05,0.0979018725266691,0.09937877975322,0.009937877975322,0.561983673469388,0.0631616847784899,0.00631616847784898,0.438016326530612,0.0631616847784899,0.00631616847784898,0,0,0,"graded","complete_null","",37.5,52.5,0.76732698797896,1.30322537284121
5,100,2,100,12.4907470000651,8.41440114765197,0.841440114765197,0.630380156224087,0.0640049188694498,0.00640049188694498,0.892342072972793,0.0531659549129301,0.00531659549129301,0.187516183115011,0.0525669386689342,0.00525669386689342,0.192349601479203,0.0562747327349725,0.00562747327349725,0.52189031505106,0.0116013232508101,0.00116013232508101,0.61220966857799,0.0190588834344074,0.00190588834344074,0.334374131936048,0.0412357999962803,0.00412357999962803,0.893309477842346,0.0523093108437975,0.00523093108437975,0.0797351487964866,0.0202692843679198,0.00202692843679198,0.981454794854902,0.0123133188397123,0.00123133188397123,0.121347692272013,0.481916168773914,0.0481916168773914,0.57,0.497569851956243,0.0497569851956243,0.43,0.497569851956243,0.0497569851956243,0,0,0,"graded","complete_null","",37.5,52.5,0.76732698797896,1.30322537284121
5,100,5,100,9.99102033335296,3.30717183894818,0.330717183894818,1.5675315309735,0.121391611992311,0.0121391611992311,0.889387795380224,0.0342792070296952,0.00342792070296952,0.189407447803023,0.0334570988512071,0.00334570988512071,0.194278300680202,0.03576462945346,0.003576462945346,0.52219222781226,0.00732400983800976,0.000732400983800976,0.612670224053924,0.0120095521202119,0.00120095521202119,0.332784780009237,0.0262981947792284,0.00262981947792284,0.891727799421045,0.0331534363297548,0.00331534363297548,0.077397410550505,0.0131752327576716,0.00131752327576716,0.981574631773311,0.00625304987009481,0.000625304987009481,0.074750041762132,0.191743840401672,0.0191743840401672,0.562,0.183005216021044,0.0183005216021044,0.438,0.183005216021044,0.0183005216021044,0,0,0,"graded","complete_null","",37.5,52.5,0.76732698797896,1.30322537284121
5,100,10,100,9.57149211844516,2.60601497270502,0.260601497270502,3.15852436456985,0.209077239210028,0.0209077239210028,0.888156940551351,0.0284823563883115,0.00284823563883115,0.189540072433519,0.0278196187644585,0.00278196187644585,0.194546669401373,0.0297737148932746,0.00297737148932746,0.522407359426565,0.00608476019913858,0.000608476019913858,0.61305613288359,0.00998771363330792,0.000998771363330792,0.332867286993045,0.0218326358941413,0.00218326358941413,0.890973777442873,0.0275013526213374,0.00275013526213374,0.0766747837928565,0.00945240605772047,0.000945240605772047,0.982264239706535,0.00400582317470371,0.000400582317470371,0.0968530757774013,0.131760792610893,0.0131760792610893,0.584666666666667,0.123735958213576,0.0123735958213576,0.415333333333333,0.123735958213576,0.0123735958213576,0,0,0,"graded","complete_null","",37.5,52.5,0.76732698797896,1.30322537284121
5,100,50,100,9.4303666067637,1.93861180038812,0.193861180038812,15.8864313795102,0.777320086036381,0.0777320086036381,0.889552659609287,0.022216396534226,0.0022216396534226,0.188280941258881,0.0215353450805346,0.00215353450805346,0.193148096611426,0.0230509194246578,0.00230509194246578,0.522047101426203,0.00470289845306812,0.000470289845306812,0.61245675523627,0.0076994677839552,0.00076994677839552,0.333766160167322,0.0168598364862499,0.00168598364862499,0.892532734089949,0.0213483118982697,0.00213483118982697,0.0772828514362164,0.00499313352645723,0.000499313352645724,0.981940446617975,0.00174702198052338,0.000174702198052338,0.0993287151470058,0.0828045127429267,0.00828045127429267,0.58494693877551,0.0701094144389632,0.00701094144389632,0.41505306122449,0.0701094144389632,0.00701094144389632,0,0,0,"graded","complete_null","",37.5,52.5,0.76732698797896,1.30322537284121
5,200,2,100,22.7756875078116,15.8822601008623,1.58822601008623,0.647568541588334,0.0494444145754117,0.00494444145754117,0.938987433550092,0.0310953362167583,0.00310953362167583,0.136177777316881,0.0379382260811439,0.00379382260811439,0.138073088767202,0.0393344925859484,0.00393344925859484,0.51182206714547,0.00622350988149337,0.000622350988149337,0.595895907754728,0.00992139410396635,0.000992139410396635,0.37564428982859,0.0318591014610657,0.00318591014610657,0.940176029979467,0.0301451837889179,0.00301451837889179,0.0545938316436797,0.0148166486487376,0.00148166486487376,0.990982679182242,0.0073387342008414,0.00073387342008414,0.0975595330512167,0.497934848637473,0.0497934848637473,0.62,0.487831731214563,0.0487831731214563,0.38,0.487831731214563,0.0487831731214563,0,0,0,"graded","complete_null","",37.5,52.5,0.76732698797896,1.30322537284121
5,200,5,100,19.6237931466727,7.66059586323183,0.766059586323183,1.62726693579007,0.0836012593770214,0.00836012593770214,0.941163774295284,0.0229097346006756,0.00229097346006756,0.133670177012588,0.0282247539876114,0.00282247539876114,0.135437193997722,0.0292615684853053,0.00292615684853053,0.511370916230526,0.00463180780414729,0.000463180780414729,0.595167164576721,0.00737636303447974,0.000737636303447974,0.377700739217939,0.0236839665911373,0.00236839665911373,0.94228442902576,0.0224853725572237,0.00224853725572237,0.054828609503611,0.0085625189756914,0.00085625189756914,0.990959641857704,0.00308508810124159,0.000308508810124159,0.0942685198901814,0.190797844737512,0.0190797844737512,0.577,0.191672595428725,0.0191672595428725,0.423,0.191672595428725,0.0191672595428725,0,0,0,"graded","complete_null","",37.5,52.5,0.76732698797896,1.30322537284121
5,200,10,100,18.4218883289579,5.855199320605,0.5855199320605,3.25219097472319,0.139932432386221,0.0139932432386221,0.940159789906415,0.0192186839010509,0.00192186839010509,0.135718907783614,0.0233232337376549,0.00233232337376549,0.137527062107779,0.0241995436401608,0.00241995436401608,0.511613363105123,0.00386945934211643,0.000386945934211643,0.595547668412118,0.00615941567503029,0.000615941567503029,0.375894455321509,0.0195017564418213,0.00195017564418213,0.941060474285212,0.0188011641400599,0.00188011641400599,0.0550819394206139,0.00637767481049923,0.000637767481049923,0.99097336830669,0.00192820312176251,0.000192820312176251,0.104045689971446,0.123948385958163,0.0123948385958163,0.585555555555555,0.119956553634827,0.0119956553634827,0.414444444444444,0.119956553634827,0.0119956553634827,0,0,0,"graded","complete_null","",37.5,52.5,0.76732698797896,1.30322537284121
5,200,50,100,17.5764310726304,3.68833574741569,0.368833574741569,16.2837640550589,0.607179695153391,0.0607179695153391,0.940464809342408,0.0132788079470238,0.00132788079470238,0.135532988917008,0.0162703918083099,0.00162703918083099,0.137319546557376,0.016879175877415,0.0016879175877415,0.511544623728348,0.00266695936418192,0.000266695936418192,0.595436662122361,0.00424513523153297,0.000424513523153297,0.37601163481134,0.0136194028573588,0.00136194028573588,0.941377850246552,0.0129647050127001,0.00129647050127001,0.0546875223688133,0.00402486746916128,0.000402486746916128,0.991087835089274,0.00099437031758627,9.9437031758627e-05,0.108786659049756,0.0821750680417563,0.00821750680417563,0.590669387755102,0.0696612413863505,0.00696612413863505,0.409330612244898,0.0696612413863505,0.00696612413863505,0,0,0,"graded","complete_null","",37.5,52.5,0.76732698797896,1.30322537284121
