"variable","bf_statistic","bf_p_value","bf_p_adj","bf_reject","eta_B_waba","eta_B_int","delta_eta_B","class_waba","class_iwaba","reclassified","pi_R","E_R_het_int","V_R_het"
"Probe_14690",1.27724305135899,0.229937813000904,0.238999035216353,FALSE,0.324859531902382,0.557648050456773,0.232788518554392,"Within","Within",FALSE,0.73857678084952,0.531609687159469,0.251507409160404
"Probe_14691",2.47922712537973,0.00389666080716533,0.00550598720491702,TRUE,0.311897900302085,0.553248713824049,0.241350813521965,"Within","Within",FALSE,0.75569184138959,0.398032583753411,0.142295513572757
"Probe_14692",1.80241407752365,0.0453756983590097,0.0522150471194765,FALSE,0.65251223847609,0.719740527020753,0.0672282885446631,"Equivocal","Equivocal",FALSE,0.310134483077645,0.17243601044289,0.0169879575219543
"Probe_14693",1.70680576679011,0.0624717665299295,0.0701638921668478,FALSE,0.439325936744873,0.603382725787093,0.16405678904222,"Within","Within",FALSE,0.58223971530345,0.191548736143719,0.0294597620812656
"Probe_14694",3.70812546150631,2.99822974487718e-05,7.21074478094956e-05,TRUE,0.515247167890969,0.640271845955945,0.125024678064976,"Within","Equivocal",TRUE,0.479777850213785,0.284377392372373,0.0591010241987047
"Probe_14695",2.77229620297749,0.00125718489471294,0.00198370932846502,TRUE,0.696785341541426,0.748883576959334,0.0520982354179079,"Equivocal","Equivocal",FALSE,0.261027430397301,0.16795868839076,0.0144405282805627
"Probe_14696",1.82047447105909,0.0426751374659309,0.0493549379447943,TRUE,0.550526332147538,0.659134626709059,0.108608294561521,"Within","Equivocal",TRUE,0.433905348829588,0.219002689729504,0.0332570201431526
"Probe_14697",9.43906985204433,7.32747196252603e-15,3.46179947453105e-13,TRUE,0.673736834989616,0.733494889941646,0.0597580549520309,"Equivocal","Equivocal",FALSE,0.286228362923476,0.446983999490959,0.108552594790239
"Probe_14698",6.19975462087019,1.35305178172729e-09,1.21555205648129e-08,TRUE,0.677735290133403,0.736130618803759,0.0583953286703567,"Equivocal","Equivocal",FALSE,0.281799602276435,0.423482923183861,0.0964737211018788
"Probe_14699",3.33879673199346,0.000132872356403579,0.000269281940564055,TRUE,0.723452734072186,0.767283586601581,0.0438308525293949,"Equivocal","Equivocal",FALSE,0.232862839116708,0.225157095762514,0.024040365088289
"Probe_14700",4.12941117170811,5.43811416264806e-06,1.60692472028359e-05,TRUE,0.444459201187263,0.605715512360016,0.161256311172753,"Within","Within",FALSE,0.575201019390452,0.278152419582605,0.0617714731635037
"Probe_14701",2.38392335475408,0.0055910482304975,0.00764852731446783,TRUE,0.445429336625374,0.606159042399918,0.160729705774544,"Within","Within",FALSE,0.573871946244175,0.250339365257297,0.0499819373873069
"Probe_14702",3.96497532673848,1.05941074532989e-05,2.8867370317615e-05,TRUE,0.489641756776407,0.627261729333753,0.137619972557347,"Within","Equivocal",TRUE,0.513857334485531,0.439813047742017,0.146316810612792
"Probe_14703",5.14639912519608,8.90822040577888e-08,4.51824263902829e-07,TRUE,0.686730381954638,0.74211199302014,0.0553816110655019,"Equivocal","Equivocal",FALSE,0.271923700272594,0.384993458413545,0.0779240796706652
"Probe_14704",6.74636399409067,1.60633284451706e-10,1.99086073027707e-09,TRUE,0.569493023575005,0.669722379700904,0.100229356125899,"Within","Equivocal",TRUE,0.409838295592735,0.492159514468459,0.162836736485073
"Probe_14705",6.92470095769768,8.07023337046076e-11,1.08843122275156e-09,TRUE,0.591545763203341,0.682424866547679,0.090879103344338,"Within","Equivocal",TRUE,0.382429359596569,0.346736523194147,0.0777611638718827
"Probe_14706",5.14273238376899,9.04043626626105e-08,4.5737489053528e-07,TRUE,0.657135736983756,0.722702908153758,0.0655671711700024,"Equivocal","Equivocal",FALSE,0.304870106476732,0.410411259715729,0.0952181795803087
"Probe_14707",2.9215295414083,0.00069986200310912,0.00117225061063001,TRUE,0.55454526186388,0.661352062574252,0.106806800710372,"Within","Equivocal",TRUE,0.428769051437752,0.334216687841751,0.0769598569745947
"Probe_14708",1.46632836196766,0.133619919299924,0.142984262455178,FALSE,0.41482789440896,0.592577129698614,0.177749235289654,"Within","Within",FALSE,0.615934955738157,0.279298731275294,0.0642578500956815
