"scenario","K","n","p","rep","n_pairs","prop_corr_decrease","prop_corr_increase","prop_corr_equal","mean_signed_diff","mean_negative_diff"
"heteroscedastic",3,500,10,22,45,1,0,0,-0.0168613976859468,-0.0168613976859468
"heteroscedastic",3,500,10,23,45,0.955555555555556,0.0444444444444444,0,-0.0225048892705412,-0.0235682244506365
"heteroscedastic",3,500,10,24,45,0.955555555555556,0.0444444444444444,0,-0.0233874089652925,-0.0244844836053699
"heteroscedastic",3,500,10,25,45,1,0,0,-0.0244777195998662,-0.0244777195998662
"heteroscedastic",3,500,10,26,45,0.977777777777778,0.0222222222222222,0,-0.0210859358611746,-0.0216515407247887
"heteroscedastic",3,500,10,27,45,1,0,0,-0.0241174231150251,-0.0241174231150251
"heteroscedastic",3,500,10,28,45,1,0,0,-0.0238606095762292,-0.0238606095762292
"heteroscedastic",3,500,10,29,45,1,0,0,-0.0265121892550783,-0.0265121892550783
"heteroscedastic",3,500,10,30,45,0.933333333333333,0.0666666666666667,0,-0.0276795423797955,-0.0302994192811804
"heteroscedastic",3,500,10,31,45,0.955555555555556,0.0444444444444444,0,-0.0241028026498055,-0.0253312101429322
"heteroscedastic",3,500,10,32,45,1,0,0,-0.0238031024152665,-0.0238031024152665
"heteroscedastic",3,500,10,33,45,1,0,0,-0.0356211178701095,-0.0356211178701095
"heteroscedastic",3,500,10,34,45,0.933333333333333,0.0666666666666667,0,-0.0246241903967074,-0.0264979192020683
"heteroscedastic",3,500,10,35,45,1,0,0,-0.0207181280518607,-0.0207181280518607
"heteroscedastic",3,500,10,36,45,1,0,0,-0.0208295028390128,-0.0208295028390128
"heteroscedastic",3,500,10,37,45,1,0,0,-0.021966375571697,-0.021966375571697
"heteroscedastic",3,500,10,38,45,0.977777777777778,0.0222222222222222,0,-0.0177692347681147,-0.0182495084658959
"heteroscedastic",3,500,10,39,45,0.955555555555556,0.0444444444444444,0,-0.0155489417691966,-0.0163279564352944
"heteroscedastic",3,500,10,40,45,1,0,0,-0.0245509341921361,-0.0245509341921361
"heteroscedastic",3,500,10,41,45,1,0,0,-0.0209847726676251,-0.0209847726676251
"heteroscedastic",3,500,10,42,45,0.977777777777778,0.0222222222222222,0,-0.0179663344600355,-0.0183754591021351
"heteroscedastic",3,500,10,43,45,1,0,0,-0.0246921896333319,-0.0246921896333319
