"variable","statistic","df1","df2","p_value","center","p_adj","reject","F_score","eta_B_int","delta_eta_B","pi_R","E_R_het_int"
"Probe_2799",3.16897832789736,13,184,0.000262180852331539,"median",0.000327726065414424,TRUE,31.972327434828,0.849483823028754,0.0169279064666098,0.128588531149326,0.219151295719691
"Probe_5989",11.0695382996495,13,184,0,"median",0,TRUE,31.6895038162685,0.848566799377836,0.0171485619528228,0.129587444040876,0.455594055840885
"Probe_331",6.29807203743083,13,184,9.20146403515787e-10,"median",1.70397482132553e-09,TRUE,31.4762276316515,0.847867796321029,0.0173178525197062,0.130351045217274,0.33902619894055
"Probe_746",3.04457338522462,13,184,0.000430139245581218,"median",0.000512070530453831,TRUE,31.2081810718451,0.846980011995217,0.0175342335419809,0.131323600553518,0.210276073065205
"Probe_5320",4.47426933830241,13,184,1.34330354750745e-06,"median",1.81527506419925e-06,TRUE,31.1117466606274,0.846658057301581,0.0176130835269087,0.131677053575224,0.271595754715019
"Probe_3147",9.0698664240732,13,184,2.72004641033163e-14,"median",9.62193288008469e-14,TRUE,30.8913236943864,0.845917005168287,0.0177953438424808,0.13249214034248,0.37507851288047
"Probe_1277",5.92263195107187,13,184,4.03231825707451e-09,"median",6.95227285702501e-09,TRUE,30.6996654327675,0.845266767820229,0.0179561533008169,0.133209106007873,0.420130679852818
"Probe_2384",4.7532801600097,13,184,4.34345314381801e-07,"median",6.20493306259716e-07,TRUE,30.337829748154,0.84402397224172,0.0182658152576439,0.134584052170194,0.31735859234713
"Probe_928",12.1115914697548,13,184,0,"median",0,TRUE,30.2960862602249,0.843879300368553,0.0183020598292049,0.134744502337126,0.448889821401864
"Probe_8028",5.96600704605317,13,184,3.39714545383174e-09,"median",6.06633116755668e-09,TRUE,30.293008837226,0.843868624129718,0.0183047361746914,0.13475634622428,0.384272818814191
"Probe_15809",5.56085270609252,13,184,1.69572141883734e-08,"median",2.73503454651183e-08,TRUE,30.0775764751117,0.843117567891019,0.018493576532521,0.135590674139031,0.355623238304244
"Probe_3365",7.12471015438454,13,184,3.74473785313967e-11,"median",7.84858289470947e-11,TRUE,29.9245157180689,0.842579515349841,0.01862954516195,0.136189754244028,0.31753075614848
"Probe_6729",7.44974027211086,13,184,1.08563158462971e-11,"median",2.58483710626121e-11,TRUE,29.890983068615,0.84246114129349,0.0186595356842438,0.136321708715101,0.329071802965806
"Probe_1090",4.32088607125278,13,184,2.50139059088106e-06,"median",3.29130340905402e-06,TRUE,29.7527897281281,0.84197140350139,0.0187839073231866,0.136868223038769,0.263422434389185
"Probe_3539",8.94900698227875,13,184,4.20774526332934e-14,"median",1.31492039479042e-13,TRUE,29.7261730043455,0.841876724834105,0.0188080062897732,0.136973988072252,0.326563797470331
"Probe_6486",14.5588414046037,13,184,0,"median",0,TRUE,29.4925526255209,0.841040777485044,0.0190215550933684,0.137909370885303,0.343731004671004
"Probe_6813",4.80221910784204,13,184,3.56432184211997e-07,"median",5.24164976782348e-07,TRUE,29.3528369023555,0.840536570738995,0.0191510295461276,0.13847490253166,0.264731103931828
"Probe_13869",14.04172870497,13,184,0,"median",0,TRUE,29.2474582699076,0.840154141199402,0.0192495704560667,0.138904524819489,0.418112838423891
"Probe_5186",7.02228565338094,13,184,5.54558621246315e-11,"median",1.10911724249263e-10,TRUE,29.1999929233663,0.839981279934379,0.0192942073826833,0.139098910182741,0.366563515518859
"Probe_3720",9.05396479540983,13,184,2.88657986402541e-14,"median",9.62193288008469e-14,TRUE,29.1630844969134,0.839846604546111,0.0193290250949444,0.139250438085199,0.295466590113688
"Probe_6142",5.55176845610607,13,184,1.75825631831827e-08,"median",2.7472754973723e-08,TRUE,28.7262018368136,0.838234917020776,0.0197485078319393,0.141069473725261,0.357999751088791
"Probe_3909",12.2744057520173,13,184,0,"median",0,TRUE,28.6792022150052,0.838059581377226,0.0197944571146482,0.141267999998568,0.440758843914162
"Probe_11812",16.7083683017735,13,184,0,"median",0,TRUE,28.6639215641675,0.838002493150646,0.0198094312353917,0.141332665847554,0.406555358608389
"Probe_2452",9.91042465554105,13,184,1.33226762955019e-15,"median",6.05576195250085e-15,TRUE,28.5754623407252,0.837671211804242,0.0198964547875664,0.141708180926074,0.368545252090318
"Probe_7001",7.36488194020428,13,184,1.49820156281066e-11,"median",3.40500355184242e-11,TRUE,28.476502032246,0.837298980448656,0.0199944985083105,0.142130645674896,0.526039813396332
