eta_b_waba,eta_b_iwaba,info_gain,radius_prop,scenario,K,n,p,rep
0.5532895194612247,0.6106972892356053,1.2786596826491803,0.21793107769836112,Heteroscedastic,2,100,2,68
0.48885892535021647,0.5605299215872046,1.459437084857759,0.3148043102540026,Heteroscedastic,2,100,2,69
0.6059552027170897,0.6425746190863165,1.1863126679569336,0.15705190797448126,Heteroscedastic,2,100,2,70
0.6310776989617571,0.6530106087404183,1.1250957624586102,0.11118676883578817,Heteroscedastic,2,100,2,71
0.6459204982960386,0.6706140806564034,1.1388028447249445,0.12188487706005834,Heteroscedastic,2,100,2,72
0.6229568774703971,0.6480456178327872,1.1437959445165273,0.12571818007040472,Heteroscedastic,2,100,2,73
0.6553137498575224,0.6778969386668553,1.1093213902263617,0.09854798725557269,Heteroscedastic,2,100,2,74
0.5948495149687034,0.6156001556338315,1.1124021239144535,0.10104450674628289,Heteroscedastic,2,100,2,75
0.5245184748257943,0.5592662143148228,1.1932814416426731,0.1619747319430375,Heteroscedastic,2,100,2,76
0.6715115304466945,0.696448891643543,1.1387574193846626,0.12184984881120808,Heteroscedastic,2,100,2,77
0.6787402818790074,0.6992192012028904,1.097093790356345,0.08850090230189706,Heteroscedastic,2,100,2,78
0.5608645352026785,0.5836185372568521,1.115597604024233,0.1036194445087048,Heteroscedastic,2,100,2,79
0.5311180369860578,0.5635185166447754,1.1745221703092725,0.1485899327582022,Heteroscedastic,2,100,2,80
0.5753046781726148,0.6052607335089086,1.1585545349495203,0.13685547824162517,Heteroscedastic,2,100,2,81
0.4718289187436248,0.5371663138634436,1.4063891251935021,0.2889592346197841,Heteroscedastic,2,100,2,82
0.532483920798565,0.5963186024684964,1.4011796176054554,0.28631562475270017,Heteroscedastic,2,100,2,83
0.674057777511681,0.7016716055684025,1.1684134929090066,0.14413860669282982,Heteroscedastic,2,100,2,84
0.6214491215514057,0.6572777736856459,1.2038816131231134,0.1693535401659662,Heteroscedastic,2,100,2,85
0.5374649199779213,0.5667064698241567,1.1697410528108718,0.14510993899289626,Heteroscedastic,2,100,2,86
0.567890030618454,0.6081751512820357,1.2332902010717637,0.18916083243751397,Heteroscedastic,2,100,2,87
0.5528651765775254,0.5858564048886528,1.1894372675280818,0.15926629566750922,Heteroscedastic,2,100,2,88
0.6313248013007788,0.6464275944685558,1.0833504995496,0.07693770352646977,Heteroscedastic,2,100,2,89
0.5950616988688,0.6103406811256472,1.0703431514077992,0.06572018638628034,Heteroscedastic,2,100,2,90
0.5616213905897627,0.6121545628178061,1.2635869125292953,0.20860212298470154,Heteroscedastic,2,100,2,91
0.5797686913233489,0.6225031866994792,1.1494549215596075,0.13002242955019366,Heteroscedastic,2,100,2,92
0.6690606670522037,0.7010066070026475,1.1817411755297262,0.15379101557348968,Heteroscedastic,2,100,2,93
