"setting","n","rep","B","delta_E_truth","delta_A_truth","r_R_het_truth","delta_E_estimate","delta_E_lower","delta_E_upper","delta_E_defined","delta_E_length","delta_E_coverage","delta_A_estimate","delta_A_lower","delta_A_upper","delta_A_defined","delta_A_length","delta_A_coverage","r_R_het_estimate","r_R_het_lower","r_R_het_upper","r_R_het_defined","r_R_het_length","r_R_het_coverage","group_sizes"
"skewed_lognormal_balanced",100,51,199,0.335133333333333,0.339426490971632,0.927105069301106,0.400368064395798,0.0408342934663358,0.83604070796645,TRUE,0.795206414500115,TRUE,0.389222151087999,0.252293944129188,0.521583947329959,TRUE,0.269290003200772,TRUE,0.834800098542492,-0.25846786139414,0.981206967406735,TRUE,1.23967482880087,TRUE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,52,199,0.335133333333333,0.339426490971632,0.927105069301106,-0.0951265592418471,-0.988118698796814,1.03919087320114,TRUE,2.02730957199795,TRUE,0.299659169089952,0.159362133085222,0.649693767690315,TRUE,0.490331634605093,TRUE,-0.538348995222938,-0.736730060895644,0.764047898286373,TRUE,1.50077795918202,FALSE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,53,199,0.335133333333333,0.339426490971632,0.927105069301106,0.31130256105396,-0.111406517067609,0.774826181092203,TRUE,0.886232698159812,TRUE,0.35490603308406,0.24181565893007,0.490051092138128,TRUE,0.248235433208058,TRUE,0.706858453824713,-0.537424150940057,0.955132519111045,TRUE,1.4925566700511,TRUE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,54,199,0.335133333333333,0.339426490971632,0.927105069301106,0.495946971549245,0.214405912972068,0.935348389657111,TRUE,0.720942476685043,TRUE,0.406078591193037,0.311419059822703,0.610445358542427,TRUE,0.299026298719724,TRUE,-0.207432390398998,-0.431183996789893,0.845682689692097,TRUE,1.27686668648199,FALSE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,55,199,0.335133333333333,0.339426490971632,0.927105069301106,0.603518334599981,0.0617366395230312,1.12284949023105,TRUE,1.06111285070802,TRUE,0.264598994124276,0.118080186424267,0.522239513386055,TRUE,0.404159326961788,TRUE,-0.673722429000525,-0.941521625197334,0.278969339982306,TRUE,1.22049096517964,FALSE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,56,199,0.335133333333333,0.339426490971632,0.927105069301106,0.279221491464903,-0.504636152239256,0.981895603238481,TRUE,1.48653175547774,TRUE,0.274799397136563,0.124528677763502,0.527959077703317,TRUE,0.403430399939815,TRUE,0.052313699884533,-0.240660056702666,0.958721483640252,TRUE,1.19938154034292,TRUE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,57,199,0.335133333333333,0.339426490971632,0.927105069301106,0.361385504122505,0.147719136681627,0.698920270175302,TRUE,0.551201133493675,TRUE,0.365917656021234,0.276165492149983,0.485753681520557,TRUE,0.209588189370574,TRUE,0.734827320050049,0.0748681454549258,0.94758762961421,TRUE,0.872719484159284,TRUE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,58,199,0.335133333333333,0.339426490971632,0.927105069301106,0.641078200256627,0.399661230300623,1.02082117526924,TRUE,0.621159944968616,FALSE,0.44029741711062,0.363808835874867,0.56521888620209,TRUE,0.201410050327223,FALSE,0.871929544906439,-0.605811413039335,0.982855049715209,TRUE,1.58866646275454,TRUE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,59,199,0.335133333333333,0.339426490971632,0.927105069301106,0.010054955239855,-0.854919402330371,0.93775053781512,TRUE,1.79266994014549,TRUE,0.300676612166869,0.205692693559576,0.566154507263847,TRUE,0.36046181370427,TRUE,0.763019123478099,-0.377556330816875,0.926178663978298,TRUE,1.30373499479517,FALSE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,60,199,0.335133333333333,0.339426490971632,0.927105069301106,0.787642343295209,0.507218806444062,1.34710384316594,TRUE,0.839885036721873,FALSE,0.409243001771907,0.313224709275559,0.533740616298969,TRUE,0.220515907023411,TRUE,0.469665073167204,-0.375679755396624,0.925950548264305,TRUE,1.30163030366093,FALSE,"20,20,20,20,20"
