"scenario","p","n_rep","info_gain_mean","info_gain_sd","info_gain_mcse","delta_tr_mean","delta_tr_sd","delta_tr_mcse","radius_prop_mean","radius_prop_sd","radius_prop_mcse","mean_eta_B_waba_mean","mean_eta_B_waba_sd","mean_eta_B_waba_mcse","mean_eta_B_int_mean","mean_eta_B_int_sd","mean_eta_B_int_mcse","mean_delta_eta_mean","mean_delta_eta_sd","mean_delta_eta_mcse","mean_pi_R_mean","mean_pi_R_sd","mean_pi_R_mcse","mean_E_R_het_int_mean","mean_E_R_het_int_sd","mean_E_R_het_int_mcse","mean_r_R_billard_mean","mean_r_R_billard_sd","mean_r_R_billard_mcse","mean_r_R_het_signed_mean","mean_r_R_het_signed_sd","mean_r_R_het_signed_mcse","equivocal_within_deg","equivocal_between_deg","equivocal_within_threshold","equivocal_between_threshold"
"homoscedastic",10,100,1.6577799215026,0.0246043912986542,0.00246043912986542,3.30950640554576,0.0696652458949761,0.00696652458949761,0.396652443101505,0.00893045558685112,0.000893045558685112,0.579036645301359,0.00728831109489466,0.000728831109489466,0.675504965078974,0.00415722540718281,0.000415722540718281,0.0964683197776154,0.00313702670645588,0.000313702670645588,0.39840144992971,0.00911712500599486,0.000911712500599486,0.0347496583698933,0.00389515004807719,0.000389515004807719,0.995866035004594,0.000924340411756462,9.24340411756462e-05,-0.0156840087707665,0.0630386916425841,0.00630386916425841,37.5,52.5,0.76732698797896,1.30322537284121
"homoscedastic",50,100,1.65143198657452,0.0121772956406892,0.00121772956406892,16.5242714654452,0.142713330046829,0.0142713330046829,0.394432364897854,0.00445981605355955,0.000445981605355955,0.580671438228339,0.003612868727677,0.0003612868727677,0.676436099448976,0.00207277543246754,0.000207277543246754,0.0957646612206375,0.00154205992282646,0.000154205992282646,0.396355361831153,0.00450058380967512,0.000450058380967512,0.0345247595178362,0.00175228135877153,0.000175228135877153,0.995946739746648,0.000393736759639096,3.93736759639096e-05,-0.00180252466628035,0.0123846848034577,0.00123846848034577,37.5,52.5,0.76732698797896,1.30322537284121
"nonlinear_var",2,100,1.72768937333075,0.0755937995926496,0.00755937995926496,0.745484981250218,0.0369635630704676,0.00369635630704676,0.420106669794952,0.0250990117433473,0.00250990117433473,0.560954726716549,0.0197853190254006,0.00197853190254006,0.665315053430603,0.0110422498736922,0.00110422498736923,0.104360326714053,0.00875933534699106,0.000875933534699106,0.42117644754956,0.0250842263483324,0.00250842263483324,0.194257633585797,0.00915358758965364,0.000915358758965364,0.996581090127631,0.00330569245992565,0.000330569245992565,0.976164306827143,0.0259414696075223,0.00259414696075223,37.5,52.5,0.76732698797896,1.30322537284121
"nonlinear_var",5,100,1.7184716507111,0.0463912549519564,0.00463912549519564,1.85283035408682,0.0632209740394514,0.00632209740394514,0.417667668008642,0.0157244327402631,0.00157244327402631,0.562286385778174,0.0122676081689935,0.00122676081689935,0.66606278336513,0.00689976430982296,0.000689976430982296,0.103776397586956,0.00537701463337631,0.000537701463337631,0.419496339608518,0.0154773396060962,0.00154773396060962,0.194737119260186,0.0058827522278389,0.00058827522278389,0.996505056372978,0.00161561347934534,0.000161561347934534,0.975303860889562,0.0121324450750188,0.00121324450750188,37.5,52.5,0.76732698797896,1.30322537284121
"nonlinear_var",10,100,1.72502295834754,0.0324369073868629,0.00324369073868629,3.70815793058835,0.0882938883521914,0.00882938883521914,0.420095817948836,0.0108421809947672,0.00108421809947672,0.5602463985648,0.00848517872622109,0.000848517872622109,0.66491523468457,0.00470934861004621,0.000470934861004621,0.10466883611977,0.00378212683140009,0.000378212683140009,0.422066902656875,0.0107924655906505,0.00107924655906505,0.194175126025052,0.00404983128505479,0.000404983128505479,0.996453608952269,0.00107733702206752,0.000107733702206752,0.974222720762006,0.00863422476753048,0.000863422476753048,37.5,52.5,0.76732698797896,1.30322537284121
"nonlinear_var",50,100,1.72699850066807,0.01538280812718,0.001538280812718,18.555146494227,0.199220105660944,0.0199220105660944,0.420915163858034,0.00516446653126982,0.000516446653126982,0.559568665118594,0.00411038125438001,0.000411038125438001,0.664529692778104,0.00228034797535838,0.000228034797535838,0.10496102765951,0.00183287124834307,0.000183287124834307,0.422915170415777,0.0052292680178493,0.00052292680178493,0.194400033351633,0.00170395490903675,0.000170395490903675,0.996357225510094,0.000518248154887685,5.18248154887686e-05,0.97370628489241,0.00408248158121123,0.000408248158121123,37.5,52.5,0.76732698797896,1.30322537284121
"spread_only",2,100,57.2291286837034,34.6917947209108,3.46917947209108,2.59782486732205,0.296588694651629,0.0296588694651629,0.975359862166428,0.0154253163063853,0.00154253163063853,0.0836774808955659,0.0252414586939896,0.00252414586939895,0.504682650689297,0.00296180290863063,0.000296180290863063,0.421005169793731,0.0223881853515619,0.00223881853515619,0.975646010232151,0.0149547041193395,0.00149547041193395,0.265752894184952,0.0245792864748831,0.00245792864748831,0.995499405249129,0.00372679531776768,0.000372679531776768,0.981644179378454,0.0167698278753042,0.00167698278753042,37.5,52.5,0.76732698797896,1.30322537284121
"spread_only",5,100,48.8841941673552,19.0543234908835,1.90543234908835,6.47813231612096,0.657656668945513,0.0657656668945513,0.976186165393725,0.00962446424406482,0.000962446424406482,0.0824309328937727,0.0161292942732754,0.00161292942732754,0.504538163955593,0.00184998704811489,0.000184998704811489,0.42210723106182,0.0143382348925985,0.00143382348925985,0.976375318023833,0.00936411743638771,0.000936411743638771,0.264838042764491,0.0241350470428051,0.00241350470428051,0.995793138164863,0.00162698823818677,0.000162698823818677,0.982560429537186,0.00800204936061317,0.000800204936061317,37.5,52.5,0.76732698797896,1.30322537284121
"spread_only",10,100,45.6632902059034,12.0809832181196,1.20809832181196,12.9681553652359,1.30144755208135,0.130144755208135,0.976683942063331,0.00568096394998026,0.000568096394998026,0.0820361685052552,0.00985682628246432,0.000985682628246432,0.50443591507561,0.00108321907399225,0.000108321907399225,0.422399746570354,0.00881581186635147,0.000881581186635147,0.976871868542387,0.00550330622102085,0.000550330622102085,0.265192995042157,0.0231538022616464,0.00231538022616464,0.995755432759108,0.00104849642112709,0.000104849642112709,0.982429693363885,0.00555869702169543,0.000555869702169543,37.5,52.5,0.76732698797896,1.30322537284121
"spread_only",50,100,43.3894172865341,5.22991742464827,0.522991742464826,64.9268759079694,6.39512636160521,0.639512636160521,0.976619664541962,0.00282268187663758,0.000282268187663758,0.0816722146584318,0.00503731573285451,0.000503731573285451,0.504445256553003,0.000542090229169572,5.42090229169572e-05,0.422773041894571,0.00451818513319383,0.000451818513319383,0.976833134511211,0.00275385527939739,0.000275385527939739,0.265156368581444,0.0229864585519823,0.00229864585519823,0.995791380826184,0.000511316697330721,5.11316697330721e-05,0.982681037813194,0.00417130273005236,0.000417130273005236,37.5,52.5,0.76732698797896,1.30322537284121
