"scenario","n","rep","true_delta_E_1","true_delta_A_12","true_r_R_het_12","true_r_R_het_defined","sample_delta_E_1","sample_delta_A_12","sample_r_R_het_12","sample_r_R_het_defined","ci_delta_E_lower","ci_delta_E_upper","ci_delta_A_lower","ci_delta_A_upper","ci_r_R_het_lower","ci_r_R_het_upper","cover_delta_E_1","cover_delta_A_12","cover_r_R_het_12","len_delta_E_1","len_delta_A_12","len_r_R_het_12","bf_pvalue_x1","reject_bf_x1","reject_r_R_het_zero","boot_r_R_het_defined_rate"
"orthogonal_heterogeneity",100,157,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.35770419153767,0.322109366393293,0.0744967531256257,TRUE,0.090465141828186,0.846185265864684,0.254099373154655,0.402042369469205,-0.490831469355743,0.740267831472935,TRUE,TRUE,TRUE,0.755720124036498,0.147942996314549,1.23109930082868,0.251645898859472,FALSE,FALSE,1
"orthogonal_heterogeneity",100,158,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.216424676060631,0.283524534162021,-0.478473559398851,TRUE,-0.118031460779845,0.776207037491832,0.204245461323405,0.356283248254545,-0.785789299344847,0.135490632703371,TRUE,TRUE,TRUE,0.894238498271677,0.152037786931141,0.921279932048218,0.00829167698091948,TRUE,FALSE,1
"orthogonal_heterogeneity",100,159,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.608051330263529,0.393249823500813,-0.337624851552488,TRUE,0.252754176608677,1.11177798635251,0.310585428166294,0.458929671792424,-0.826337543702062,0.437852007715402,TRUE,TRUE,TRUE,0.859023809743835,0.14834424362613,1.26418955141746,0.148983507465305,FALSE,FALSE,1
"orthogonal_heterogeneity",100,160,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,-0.00351289496255269,0.279655634325204,0.366589871039007,TRUE,-0.280178395978472,0.487063662416192,0.19504686724227,0.351409036775313,-0.23615799301398,0.771102215663886,TRUE,TRUE,TRUE,0.767242058394664,0.156362169533043,1.00726020867787,0.000477520378016738,TRUE,FALSE,1
"orthogonal_heterogeneity",100,161,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.0684222964715615,0.236792146442012,0.089073129314293,TRUE,-0.276655004790368,0.633042221162218,0.137770548160892,0.329812786935235,-0.422403264606118,0.664710710050572,TRUE,TRUE,TRUE,0.909697225952586,0.192042238774344,1.08711397465669,0.0415036215172273,TRUE,FALSE,1
"orthogonal_heterogeneity",100,162,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.287339956817354,0.254588622718107,-0.155035102083915,TRUE,-0.0432044025190991,0.91980882262556,0.183859724341578,0.329285639166999,-0.619331068334035,0.460387792325743,TRUE,TRUE,TRUE,0.963013225144659,0.145425914825421,1.07971886065978,0.0137459543881213,TRUE,FALSE,1
"orthogonal_heterogeneity",100,163,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.970777328526261,0.382083766631587,-0.301065786515835,TRUE,0.39469937420201,1.81274255839591,0.306063664934536,0.466777200096405,-0.714354103629132,0.331567030641771,FALSE,TRUE,TRUE,1.4180431841939,0.160713535161869,1.0459211342709,0.00101848788802239,TRUE,FALSE,1
"orthogonal_heterogeneity",100,164,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.494346119530747,0.326775388082358,0.357120671478203,TRUE,0.0738280690018234,1.10399087475613,0.250489036330278,0.412889921214807,-0.338472445989074,0.794995572376268,TRUE,TRUE,TRUE,1.0301628057543,0.162400884884529,1.13346801836534,1.96909894023545e-05,TRUE,FALSE,1
"orthogonal_heterogeneity",100,165,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.693906168954681,0.419894734226498,-0.0646725424782925,TRUE,0.343059667921074,1.28284018384232,0.347944022717642,0.50427149157174,-0.419700961402956,0.433434012996341,FALSE,FALSE,TRUE,0.93978051592125,0.156327468854097,0.853134974399297,0.000309018787023718,TRUE,FALSE,1
"orthogonal_heterogeneity",100,166,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.148309628307011,0.30086806275308,0.229702422980195,TRUE,-0.114157692892429,0.557831101965824,0.217703744154689,0.4034937018375,-0.553185031129162,0.757121105625981,TRUE,TRUE,TRUE,0.671988794858254,0.18578995768281,1.31030613675514,0.17685961462671,FALSE,FALSE,1
"orthogonal_heterogeneity",100,167,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.070318802275174,0.229665199033759,-0.497110406513139,TRUE,-0.172321403468375,0.514618181896868,0.155766544057386,0.30727896031041,-0.839738956678074,0.0994682928934655,TRUE,FALSE,TRUE,0.686939585365243,0.151512416253024,0.93920724957154,0.000793033135749743,TRUE,FALSE,1
"orthogonal_heterogeneity",100,168,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.385470574093471,0.35553956718423,-0.166156198760892,TRUE,0.0647833844730745,0.93572120887466,0.259282995236152,0.456605691865,-0.605299943592604,0.500797288541667,TRUE,TRUE,TRUE,0.870937824401585,0.197322696628848,1.10609723213427,0.0113506105922292,TRUE,FALSE,1
"orthogonal_heterogeneity",100,169,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.111054458644915,0.317301696219069,0.0499604401084863,TRUE,-0.169806030891815,0.557602277352317,0.237530310585984,0.386870630005958,-0.546841046820809,0.648226634095385,TRUE,TRUE,TRUE,0.727408308244131,0.149340319419973,1.19506768091619,0.259232936977497,FALSE,FALSE,1
"orthogonal_heterogeneity",100,170,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.0903733692173347,0.296697596758104,-0.0883802885514679,TRUE,-0.219625150028135,0.6281716119703,0.218718521539996,0.379513273218057,-0.784658476787193,0.688137879166905,TRUE,TRUE,TRUE,0.847796761998435,0.160794751678061,1.4727963559541,0.241472155908056,FALSE,FALSE,1
"orthogonal_heterogeneity",100,171,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.160380021108543,0.303588720447892,0.254064303447635,TRUE,-0.159025395648018,0.67022563306344,0.221784844795494,0.391425858791342,-0.608380248967134,0.759768565801013,TRUE,TRUE,TRUE,0.829251028711458,0.169641013995848,1.36814881476815,0.079590337225912,FALSE,FALSE,1
"orthogonal_heterogeneity",100,172,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.520005094132317,0.343345382418715,0.153370303163853,TRUE,0.155397391936037,1.21874914795756,0.265901440220725,0.418338042852533,-0.703364625790833,0.793004601266137,TRUE,TRUE,TRUE,1.06335175602152,0.152436602631808,1.49636922705697,0.00170007513001602,TRUE,FALSE,1
"orthogonal_heterogeneity",100,173,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.232799422495523,0.278101392534325,0.203623620970418,TRUE,-0.0669917331848697,0.823754317620007,0.203781821532813,0.367716441996771,-0.319058395834668,0.658405147591525,TRUE,TRUE,TRUE,0.890746050804877,0.163934620463958,0.977463543426193,0.0493569323192231,TRUE,FALSE,1
"orthogonal_heterogeneity",100,174,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.298833794367611,0.271513863848235,0.240290111640311,TRUE,0.0511813837195562,0.764109786609344,0.189348878168323,0.351415873631791,-0.328981526179617,0.800288283017851,TRUE,TRUE,TRUE,0.712928402889788,0.162066995463468,1.12926980919747,0.000242070067493994,TRUE,FALSE,1
"orthogonal_heterogeneity",100,175,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.188344400428754,0.266967783852178,-0.0385462262015244,TRUE,-0.118829079575794,0.756233466069271,0.170640966851414,0.371013315973017,-0.681435075118893,0.655961474827606,TRUE,TRUE,TRUE,0.875062545645065,0.200372349121603,1.3373965499465,0.100765979399022,FALSE,FALSE,1
"orthogonal_heterogeneity",100,176,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.310047552551292,0.343029455819493,0.442437588480023,TRUE,0.0132110825928845,0.836604219408863,0.261825674994736,0.426938603556904,-0.182301141009461,0.808983822293198,TRUE,TRUE,TRUE,0.823393136815978,0.165112928562167,0.991284963302659,0.00648946166828912,TRUE,FALSE,1
"orthogonal_heterogeneity",100,177,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.314428086127203,0.320125897407548,0.383960897459802,TRUE,0.00849377025999442,0.815712098432332,0.233029311260092,0.414006614945626,-0.250007565231727,0.826470940422308,TRUE,TRUE,TRUE,0.807218328172338,0.180977303685534,1.07647850565404,0.00870256048498796,TRUE,FALSE,1
"orthogonal_heterogeneity",100,178,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.125483227566834,0.314184305170304,0.0614561488890346,TRUE,-0.368409780236292,0.725997834297514,0.208580548474064,0.427120848247326,-0.565153263353879,0.860317934025931,TRUE,TRUE,TRUE,1.09440761453381,0.218540299773261,1.42547119737981,0.46507162472259,FALSE,FALSE,1
"orthogonal_heterogeneity",100,179,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.503226053042916,0.365437632519156,-0.130645469117836,TRUE,0.198386805925171,0.98790916965631,0.291533745551257,0.441858508899436,-0.706513714685041,0.469972365662972,TRUE,TRUE,TRUE,0.789522363731139,0.15032476334818,1.17648608034801,0.0122220931270374,TRUE,FALSE,1
"orthogonal_heterogeneity",100,180,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.0343407111646374,0.292066749447928,0.145887524131309,TRUE,-0.295385645065201,0.550560686519069,0.184500736794603,0.38644585162669,-0.5316179966995,0.695484919015168,TRUE,TRUE,TRUE,0.84594633158427,0.201945114832087,1.22710291571467,0.00904862769705905,TRUE,FALSE,1
"orthogonal_heterogeneity",100,181,0.270133333333333,0.317471108723608,1.33852120059939e-16,TRUE,0.727823024505836,0.368286868490921,0.249717741289379,TRUE,0.359249825078298,1.30032654956697,0.27991447289723,0.452855822628953,-0.31824640196536,0.7505217592751,FALSE,TRUE,TRUE,0.941076724488672,0.172941349731723,1.06876816124046,0.0385052211086157,TRUE,FALSE,1
